source_id,sector,year,dimension,score,passage_excerpt,coder_id,confidence,review_status,notes
SRC_AUTO_1994_001,Automobiles,1994,specificity,2,"2000年汽车总产量要满足国内市场90%以上的需要,轿车产量要达到总产量一半以上,并基本满足进入家庭的需要;摩托车产量基本满足国内需要,并有一定数量出口。",wenwen_zhang,high,accepted,Concrete quantitative national output/localization target
SRC_AUTO_1994_002,Automobiles,1994,allocation,2,"支持2-3家汽车生产企业(企业集团)迅速成长为具有相当实力的大型企业...引导大型企业与骨干企业实行'强强联合',在2010年以前形成3-4家具有一定国际竞争力的大型汽车企业集团",wenwen_zhang,high,accepted,Explicit targeting of a small number of firms for consolidation and support
SRC_AUTO_1994_002,Automobiles,1994,persistence,2,"支持2-3家汽车生产企业(企业集团)迅速成长...在本世纪内...在2010年以前形成3-4家具有一定国际竞争力的大型汽车企业集团",wenwen_zhang,high,accepted,Multi-stage target spanning the Eighth Five-Year Plan period through 2010; institutionalized, not one-off
SRC_AUTO_1994_003,Automobiles,1994,specificity,2,"年产汽车30万辆以上的生产规模,年销售量达到20万辆以上...用于技术开发的资金不低于年销售额3%的,国家支持其向年产规模60万辆以上的目标发展。",wenwen_zhang,high,accepted,Precise quantitative scale/revenue/R&D-spending thresholds
SRC_AUTO_1994_003,Automobiles,1994,allocation,2,"国家将对具有独立的产品、技术开发能力和一定生产规模及市场占有率的汽车...生产企业或企业集团,重点予以支持",wenwen_zhang,high,accepted,Threshold-gated selective support, precursor to the 2004 policy's dual-track (备案/核准) approval system
SRC_AUTO_1994_004,Automobiles,1994,allocation,2,"固定资产投资方向调节税为零税率。优先安排其股票和债券的发行与上市。银行在贷款上给予积极支持。",wenwen_zhang,high,accepted,Concrete list of selective privileges granted only to firms meeting Article 10 thresholds
SRC_AUTO_1994_005,Automobiles,1994,network_breadth,1,"国家鼓励并支持汽车工业企业建立自己的产品开发和科研机构,通过消化吸收国外技术,形成独立的产品开发能力。",wenwen_zhang,medium,accepted,General/aspirational language, no named institutions
SRC_AUTO_1994_006,Automobiles,1994,network_breadth,2,"国家支持建设国家级汽车、摩托车和重点零部件研究、试验、检测机构,以承担制定标准、产品认证及进出口商品检验等任务。",wenwen_zhang,high,accepted,Concrete cross-firm shared institution-building spanning standards, certification, and inspection functions
SRC_AUTO_1994_007,Automobiles,1994,persistence,2,"外国(或地区)企业同一类整车产品不得在中国建立两家以上的合资、合作企业。",wenwen_zhang,high,accepted,"Near-identical rule appears in the 2004 policy's Article 48 (max two JVs per foreign firm per category); direct decade-long institutional continuity"
SRC_AUTO_1994_008,Automobiles,1994,persistence,2,"生产汽车、摩托车整车和发动机产品的中外合资、合作企业的中方所占股份比例不得低于50%。",wenwen_zhang,high,accepted,"Identical 50% floor reappears verbatim in the 2004 policy's Article 48; direct decade-long institutional continuity"
SRC_AUTO_1994_009,Automobiles,1994,persistence,2,"国家指定大连新港、天津新港、上海港、黄埔港等4个沿海港口和满洲里、深圳(皇岗)2个陆地口岸为整车进口口岸。",wenwen_zhang,high,accepted,"Identical port list reappears in the 2004 policy's Article 58; direct decade-long institutional continuity"
SRC_AUTO_1994_010,Automobiles,1994,allocation,2,"引进技术产品的国产化进度,作为国家支持其发展第二车型的条件之一。",wenwen_zhang,high,accepted,Support (approval of a second model) conditioned on compliance -- selective, not universal
SRC_AUTO_1994_011,Automobiles,1994,specificity,2,"汽车工业企业根据市场需求自行确定其生产的民用汽车产品价格,但对小轿车暂时实行国家指导性价格。",wenwen_zhang,high,accepted,Concrete administrative pricing instrument singling out sedans
SRC_AUTO_1994_012,Automobiles,1994,allocation,2,"1995年底前,国家不再批准新的轿车、轻型车整车项目。",wenwen_zhang,high,accepted,Direct closure of new entry to non-incumbent firms; clean evidence for the incumbent-entrenchment mechanism
